Date,Watts,Volts,Amps
17:10:24,17.9,240.4,0.117
17:10:25,17.4,240.5,0.126
17:10:25,17.3,240.4,0.138
17:10:26,17.3,240.6,0.116
17:10:27,16.8,240.5,0.12
17:10:28,16.6,240.8,0.121
17:10:30,16.3,240.9,0.118
17:10:30,16.1,240.8,0.119
17:10:32,15.8,241.0,0.111
17:10:32,15.6,241.1,0.13
17:10:33,15.7,240.9,0.12
17:10:35,15.5,241.1,0.127
17:10:36,15.5,241.1,0.121
17:10:36,15.4,241.1,0.129
17:10:38,15.5,241.2,0.128
17:10:39,15.6,240.8,0.136
17:10:40,15.7,241.1,0.129
17:10:40,15.7,241.0,0.119
17:10:42,15.5,241.0,0.138
17:10:42,15.7,241.0,0.133
17:10:44,15.8,240.9,0.134
17:10:45,16.0,240.9,0.14
17:10:46,16.2,240.9,0.126
17:10:46,16.2,240.8,0.12
17:10:47,16.1,240.9,0.127
17:10:49,16.0,241.0,0.124
17:10:49,15.9,241.0,0.125
17:10:51,15.8,241.0,0.127
17:10:52,15.8,240.8,0.123
17:10:53,15.7,240.9,0.122
17:10:53,15.7,241.1,0.131
17:10:55,15.7,240.9,0.122
17:10:55,15.6,241.1,0.123
17:10:56,15.6,241.0,0.125
17:10:58,15.5,241.0,0.123
17:10:59,15.4,241.0,0.127
17:10:59,15.4,240.8,0.13
17:11:01,15.6,241.1,0.133
17:11:01,15.7,241.2,0.128
17:11:02,15.7,241.0,0.128
17:11:04,15.7,241.1,0.123
17:11:05,15.7,241.1,0.125
17:11:06,15.7,241.2,0.124
17:11:06,15.7,241.1,0.122
17:11:07,15.6,240.8,0.123
17:11:08,15.6,241.1,0.124
17:11:09,15.6,241.1,0.128
17:11:10,15.6,241.0,0.124
17:11:12,15.6,241.0,0.136
17:11:12,15.8,241.0,0.135
17:11:13,15.9,241.2,0.14
17:11:14,16.0,241.1,0.127
17:11:15,16.0,241.0,0.135
17:11:17,16.1,241.0,0.129
17:11:17,16.0,241.0,0.133
17:11:18,16.0,241.1,0.126
17:11:19,15.9,241.3,0.127
17:11:20,15.8,240.9,0.125
17:11:21,15.7,241.2,0.127
17:11:22,15.6,241.1,0.13
17:11:23,15.7,240.9,0.126
17:11:24,15.6,241.0,0.125
17:11:25,15.5,241.0,0.125
17:11:26,15.5,241.0,0.132
17:11:27,15.5,241.1,0.133
17:11:28,15.6,241.0,0.127
17:11:29,15.6,241.1,0.13
17:11:30,15.7,241.0,0.125
17:11:31,15.7,241.0,0.132
17:11:32,15.7,241.1,0.122
17:11:33,15.7,240.8,0.128
17:11:34,15.6,241.0,0.127
17:11:35,15.6,240.6,0.125
17:11:36,15.6,240.7,0.127
17:11:37,15.5,240.7,0.124
17:11:38,15.6,240.6,0.128
17:11:39,15.7,240.7,0.13
17:11:40,15.8,240.6,0.121
17:11:41,15.7,240.4,0.124
17:11:42,15.8,240.7,0.129
17:11:43,15.8,240.7,0.132
17:11:44,15.8,240.8,0.123
17:11:45,15.7,240.7,0.125
17:11:46,15.6,240.5,0.124
17:11:47,15.6,240.6,0.122
17:11:48,15.6,240.6,0.126
17:11:49,15.7,240.5,0.129
17:11:50,15.9,240.6,0.135
17:11:51,15.9,240.5,0.126
17:11:52,16.0,240.6,0.147
17:11:53,16.3,240.6,0.126
